City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Foso,GH,74.91,moderate rain,5.7,-1.29,Pristina Cottage
416,Doha,QA,84.2,clear sky,25.29,51.53,Doha Marriott Hotel
418,Araouane,ML,86.02,broken clouds,18.9,-3.53,
419,Lazaro Cardenas,MX,84.4,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
421,Tingo Maria,PE,78.8,haze,-9.29,-76.01,Hospedaje Paraíso
423,Arica,CL,70.0,clear sky,-18.48,-70.3,Hostal Jardin Del Sol
424,Carora,VE,89.02,light rain,10.18,-70.08,Hotel Irpinia
425,Lahij,YE,73.54,clear sky,13.17,44.58,
426,Mithi,PK,77.52,clear sky,24.73,69.8,Jhapio
427,Waingapu,ID,80.35,overcast clouds,-9.66,120.26,Pondok Wisata Elim
431,Broome,US,71.01,clear sky,42.25,-75.83,Chenango Valley State Park
432,Gat,IL,70.0,light rain,31.61,34.76,OlusHome
433,Bara,NG,78.93,clear sky,10.37,10.73,
435,Mubi,NG,77.04,clear sky,10.27,13.26,Hotel
437,San Rafael,AR,89.8,moderate rain,-34.62,-68.33,Hotel San Rafael
438,Nisia Floresta,BR,80.6,broken clouds,-6.09,-35.21,Rancho Crepusculo
440,Madruga,CU,77.0,light rain,22.91,-81.86,
441,Champerico,GT,82.4,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
443,Formosa Do Rio Preto,BR,86.7,clear sky,-11.05,-45.19,Porto Center Hotel
444,Buin,CL,82.99,clear sky,-33.73,-70.75,Paihuen
447,Sapa,PH,80.24,light rain,5.15,120.32,
448,Kodinar,IN,76.68,clear sky,20.79,70.7,"Hotel Krishna Park, Kodinar"
450,Puerto Madryn,AR,74.43,overcast clouds,-42.77,-65.04,Hotel Tolosa
452,Palora,EC,73.4,scattered clouds,-1.7,-77.93,Rancho grande
456,Rantauprapat,ID,74.53,moderate rain,2.1,99.83,Permata Land Hotel & Resort
458,Salinopolis,BR,84.24,clear sky,-0.61,-47.36,Salinas Park Resort Maçarico AP101
460,Takaungu,KE,77.0,few clouds,-3.68,39.86,Takaungu House
461,Mitsamiouli,KM,79.72,broken clouds,-11.38,43.28,Foyer ADM
462,Port Moresby,PG,75.2,broken clouds,-9.44,147.18,Lamana Hotel
463,Wajir,KE,82.4,few clouds,1.75,40.06,Al- Amin lodge
465,Necochea,AR,70.34,scattered clouds,-38.55,-58.74,dyd -mar Hotel
466,Cavalcante,BR,84.15,overcast clouds,-13.8,-47.46,Pousada Vila dos Ipês
468,Etchoropo,MX,84.99,scattered clouds,26.77,-109.67,Hotel Villa Mar
469,Bandarbeyla,SO,77.81,clear sky,9.49,50.81,REER XOOSHLE GROUP
473,Griffith,US,75.99,overcast clouds,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
476,Samarinda,ID,73.42,scattered clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
478,Manggar,ID,78.67,broken clouds,-2.88,108.27,Guest Hotel
479,Lamu,KE,78.8,clear sky,-2.27,40.9,Lamu House
483,Mahibadhoo,MV,83.79,light rain,3.78,72.97,Omadhoo Inn
485,Faanui,PF,78.62,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
490,Lalmohan,BD,72.84,clear sky,22.34,90.74,Sundorbon courier service
498,Miri,MY,77.0,light rain,4.41,114.01,"Mega Hotel, Miri"
499,Roebourne,AU,70.14,light rain,-20.78,117.13,Harding River Caravan Park
500,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
508,Khudumelapye,BW,83.08,overcast clouds,-23.88,24.75,
511,Reconquista,AR,75.56,moderate rain,-29.15,-59.65,Grand Hotel
512,Trairi,BR,85.28,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
513,Dunda,TZ,71.73,light rain,-8.12,34.25,
515,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
519,Boende,CD,73.9,light rain,-0.22,20.87,
522,El Fuerte,MX,88.56,clear sky,26.42,-108.62,Hotel Rio Vista
523,Sindhnur,IN,70.02,clear sky,15.78,76.77,Minority hostel
524,Fare,PF,79.07,moderate rain,-16.7,-151.02,Maitai Lapita Village Huahine
528,Ko Samui,TH,82.18,moderate rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
529,Kalmunai,LK,81.07,heavy intensity rain,7.42,81.82,VS Villa
530,Tabou,CI,79.05,light rain,4.42,-7.35,hotêl doufoulougou
533,Vanimo,PG,77.18,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
534,Bougouni,ML,79.93,clear sky,11.42,-7.48,Non Stop
536,Hamilton,US,79.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
537,Boromo,BF,82.74,overcast clouds,11.75,-2.93,Sama Camp
538,Point Pedro,LK,82.36,overcast clouds,9.82,80.23,Gtr homes
539,Russell,US,75.2,light intensity drizzle,32.35,-85.2,Macs
541,Comodoro Rivadavia,AR,77.0,clear sky,-45.87,-67.5,Austral Hotel
542,Santa Maria,BR,84.2,clear sky,-29.68,-53.81,Hotel Morotin
544,Tigzirt,DZ,70.65,overcast clouds,36.89,4.12,Bloc D tazoumbirt (amar)
546,Djibo,BF,84.07,scattered clouds,14.1,-1.63,Centre Des Ressources DPENA
547,Blacklick Estates,US,78.8,few clouds,39.91,-82.86,Hampton Inn Columbus I-70E/Hamilton Rd.
549,Kilindoni,TZ,80.02,few clouds,-7.91,39.67,Bustani B&B
551,Irece,BR,84.87,clear sky,-11.3,-41.86,RADAR INN HOTEL
552,Mogadishu,SO,79.7,light rain,2.04,45.34,Hotel Juba
553,Phangnga,TH,82.0,light rain,8.45,98.53,Rattanapong Hotel
554,Buraydah,SA,78.8,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
558,Yenagoa,NG,77.16,moderate rain,4.92,6.26,Amba Hotels Limited
562,Kangaba,ML,80.62,clear sky,11.93,-8.42,Hôtel Mandé
564,Quatre Cocos,MU,73.99,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
566,Antalaha,MG,73.53,light rain,-14.9,50.28,Hotel Vitasoa
567,Owando,CG,73.53,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
573,Garowe,SO,79.14,broken clouds,8.41,48.48,Curubo Hotel
575,Jibuti,DJ,82.4,few clouds,11.5,42.5,Orchid Main Camp Goubet
577,Rio Grande,BR,77.0,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
580,Gushikawa,JP,73.4,broken clouds,26.35,127.87,Kirari Guest House
582,San-Pedro,CI,78.69,light rain,4.75,-6.64,Hotel Maria
595,Shelburne,CA,73.4,clear sky,44.08,-80.2,The Retreat at the Farm
597,Aiquile,BO,81.66,clear sky,-18.2,-65.18,Hotel Santa Ana
600,Maceo,CO,79.84,light rain,6.55,-74.79,Finca crisal
608,Gewane,ET,77.94,few clouds,10.17,40.65,
609,Sao Joao Dos Patos,BR,89.02,broken clouds,-6.5,-43.7,HOTEL SÃO CRISTOVÃO
610,Cauquenes,CL,80.83,clear sky,-35.97,-72.32,Viña Don Heraldo
611,Hendrina,ZA,77.0,clear sky,-26.16,29.72,Macrest
614,Ternate,ID,80.38,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
619,Tabuk,PH,73.51,heavy intensity rain,17.42,121.44,Grand Zion Garden Resort Hotel
620,Mbabane,SZ,76.39,clear sky,-26.32,31.13,Mountain Inn
623,Ahuimanu,US,80.6,few clouds,21.44,-157.84,Paradise Bay Resort
624,Cedarburg,US,70.0,broken clouds,43.3,-87.99,Washington House Inn
626,Vazante,BR,86.99,light rain,-17.99,-46.91,Hotel Pousada e Restaurante
627,Luganville,VU,77.0,broken clouds,-15.53,167.17,The Espiritu Hotel
632,Laurel,US,77.0,clear sky,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
636,Biltine,TD,81.52,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
639,Chimoio,MZ,77.0,clear sky,-19.12,33.48,Predio Livraria Ahmed
640,Tual,ID,83.26,overcast clouds,-5.67,132.75,Grand Vilia Hotel
641,Frontera,MX,82.0,clear sky,26.93,-101.45,Fiesta Inn Monclova
643,Mackay,AU,75.2,overcast clouds,-21.15,149.2,International Lodge Motel
646,Nokaneng,BW,80.49,light rain,-19.67,22.27,
648,Zaraza,VE,87.39,light rain,9.35,-65.32,Hotel Zaraza
649,Raymondville,US,88.0,scattered clouds,26.48,-97.78,La Quinta Inn & Suites by Wyndham Raymondville
650,Saquarema,BR,77.0,light intensity drizzle,-22.92,-42.51,Hotel Fazenda Sol e Lua
652,La Crosse,US,73.0,few clouds,43.8,-91.24,Holiday Inn & Suites la Crosse - Downtown
655,Nagua,DO,78.8,broken clouds,19.38,-69.85,Hotel Cambri
660,Barroquinha,BR,89.91,few clouds,-3.02,-41.14,Residencial Lago Bush
661,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
663,Vangaindrano,MG,73.47,light rain,-23.35,47.6,Hotel Fanilo
669,Garden City,US,75.2,scattered clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
671,Cockburn Town,TC,82.4,broken clouds,21.46,-71.14,Osprey Beach Hotel
673,Nabire,ID,77.2,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
680,Struthers,US,73.4,clear sky,41.05,-80.61,Red Roof Inn Boardman
683,Gorontalo,ID,72.66,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
687,Pimentel,PE,73.4,clear sky,-6.84,-79.93,Casona Del Muelle
688,Ndola,ZM,75.29,clear sky,-12.96,28.64,Chabanga Lodge iSpot
689,Arenal,CO,85.05,moderate rain,8.46,-73.94,Hotel Azteca
692,Michigan City,US,75.2,broken clouds,41.71,-86.89,Microtel Inn & Suites by Wyndham Michigan City
699,Biak,ID,76.1,scattered clouds,-0.91,122.88,Kost Ariz
700,Ambilobe,MG,77.67,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
703,Norton Shores,US,71.6,overcast clouds,43.17,-86.26,Hampton Inn Muskegon
713,Oussouye,SN,86.0,clear sky,12.48,-16.55,Auberge du Routard
714,Tecoanapa,MX,84.42,clear sky,16.52,-98.75,Hotel Manglares
716,Mayumba,GA,77.34,light rain,-3.43,10.66,LIKWALE LODGE
717,Jeremoabo,BR,83.26,clear sky,-10.07,-38.48,
719,Moron,AR,81.0,clear sky,-34.65,-58.62,Hotel Morón
722,Gamboma,CG,74.52,overcast clouds,-1.88,15.86,Residence N'Keni
