City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Santa Ana,33.75,-117.87,61.0,51,40,11.41,US,2020-11-08 18:40:27
70,Plettenberg Bay,-34.05,23.37,60.37,73,100,9.42,ZA,2020-11-08 18:42:35
71,Hilo,19.73,-155.09,75.99,83,40,3.36,US,2020-11-08 18:42:36
72,Busselton,-33.65,115.33,57.99,76,87,12.55,AU,2020-11-08 18:42:36
73,Port Elizabeth,-33.92,25.57,64.4,72,40,10.29,ZA,2020-11-08 18:42:36
74,Togur,58.36,82.83,41.23,74,100,15.7,RU,2020-11-08 18:42:36
75,Rikitea,-23.12,-134.97,72.41,77,83,16.58,PF,2020-11-08 18:42:36
76,Barrow,71.29,-156.79,17.6,78,90,18.34,US,2020-11-08 18:42:36
77,Tutoia,-2.76,-42.27,84.72,71,0,15.68,BR,2020-11-08 18:42:37
78,Atuona,-9.8,-139.03,77.07,73,63,11.79,PF,2020-11-08 18:42:37
79,Castro,-24.79,-50.01,84.72,31,24,2.73,BR,2020-11-08 18:42:37
80,Viedma,-40.81,-63.0,78.22,38,100,6.35,AR,2020-11-08 18:42:37
81,Dunedin,-45.87,170.5,52.0,68,100,10.0,NZ,2020-11-08 18:40:38
82,Exu,-7.51,-39.72,95.0,30,40,9.17,BR,2020-11-08 18:42:37
83,Bacolod,10.67,122.95,76.59,85,98,2.3,PH,2020-11-08 18:42:38
84,Jacareacanga,-6.22,-57.75,87.91,60,99,6.73,BR,2020-11-08 18:42:38
85,Clyde River,70.47,-68.59,1.4,70,20,17.22,CA,2020-11-08 18:42:38
86,Coihaique,-45.58,-72.07,73.4,33,0,8.05,CL,2020-11-08 18:42:38
87,Hofn,64.25,-15.21,40.62,70,100,10.36,IS,2020-11-08 18:42:38
88,Marivan,35.52,46.18,53.73,62,75,4.59,IR,2020-11-08 18:42:38
89,Acapulco,16.86,-99.89,87.8,62,5,4.7,MX,2020-11-08 18:42:38
90,Chicama,-7.84,-79.15,66.2,72,32,13.87,PE,2020-11-08 18:42:39
91,Srednekolymsk,67.45,153.68,-5.03,92,89,5.73,RU,2020-11-08 18:42:39
92,Esperance,-33.87,121.9,64.4,72,0,17.22,AU,2020-11-08 18:42:39
93,Talaya,61.38,152.75,-5.91,89,98,3.76,RU,2020-11-08 18:42:39
94,Raton,36.9,-104.44,55.99,22,1,26.4,US,2020-11-08 18:42:39
95,Anadyr,64.75,177.48,1.4,84,20,2.24,RU,2020-11-08 18:42:39
96,Hermanus,-34.42,19.23,55.99,84,24,1.99,ZA,2020-11-08 18:42:39
97,Codrington,-38.27,141.97,51.49,86,16,8.03,AU,2020-11-08 18:42:39
98,Carnarvon,-24.87,113.63,68.0,77,90,11.41,AU,2020-11-08 18:42:40
99,Tiksi,71.69,128.87,-7.47,91,38,2.82,RU,2020-11-08 18:42:40
100,Ahipara,-35.17,173.17,57.11,82,1,12.1,NZ,2020-11-08 18:42:40
101,Hanko,59.83,22.95,42.01,79,0,8.01,FI,2020-11-08 18:42:40
102,Aklavik,68.22,-135.01,8.6,92,75,3.36,CA,2020-11-08 18:42:40
103,Iisalmi,63.56,27.19,33.8,86,0,8.05,FI,2020-11-08 18:42:40
104,Bethel,41.37,-73.41,75.0,35,1,3.36,US,2020-11-08 18:41:06
105,Te Anau,-45.42,167.72,44.42,82,99,1.57,NZ,2020-11-08 18:42:41
106,Zhigansk,66.77,123.37,-16.15,89,49,3.83,RU,2020-11-08 18:42:41
107,Lishui,28.46,119.91,50.38,75,0,2.35,CN,2020-11-08 18:42:41
108,Bure,10.7,37.07,58.64,89,100,6.08,ET,2020-11-08 18:42:41
109,Odweyne,9.41,45.06,72.72,56,30,7.36,SO,2020-11-08 18:42:41
110,Areka,7.07,37.7,64.11,81,100,2.46,ET,2020-11-08 18:42:41
111,Mbekenyera,-10.0,38.98,74.16,84,0,7.25,TZ,2020-11-08 18:42:41
112,Umm Kaddadah,13.6,26.69,79.61,20,0,9.17,SD,2020-11-08 18:42:41
113,Itoman,26.12,127.67,73.4,64,75,17.22,JP,2020-11-08 18:42:42
114,Fortuna,40.6,-124.16,50.0,75,75,12.75,US,2020-11-08 18:42:42
115,Ostersund,63.18,14.64,37.4,85,40,8.05,SE,2020-11-08 18:42:42
116,Bathsheba,13.22,-59.52,82.4,78,75,18.34,BB,2020-11-08 18:42:42
117,Chabahar,25.29,60.64,77.04,77,0,8.93,IR,2020-11-08 18:42:42
118,Tezu,27.92,96.17,66.47,44,0,3.89,IN,2020-11-08 18:42:42
119,Buloh Kasap,2.55,102.76,77.0,94,40,2.24,MY,2020-11-08 18:42:42
